algo,test,k,time,space
kiss-new,zebrafish,2,32.862424312,10857154120
kiss-new,zebrafish,4,35.194514677,10857154120
kiss-new,zebrafish,8,37.013561517,10857154120
kiss-new,zebrafish,16,38.742695063,10857154120
kiss-new,zebrafish,32,39.638726198,10857154120
kiss-new,zebrafish,64,40.618050348000004,10857154120
kiss-new,zebrafish,128,41.317797715000005,10857154120
kiss-new,zebrafish,256,42.389270808,10857154120
kiss-new,zebrafish,512,42.681774311000005,10857154120
kiss-new,zebrafish,1024,43.433335401,10857154120
kiss-new,zebrafish,2048,44.043412971,10857154120
kiss-new,zebrafish,0,45.522434023,10857154120
kiss-new,african_clawed_frog,2,57.265555837,15190560278
kiss-new,african_clawed_frog,4,58.841558501,15190560278
kiss-new,african_clawed_frog,8,59.498588181,15190560278
kiss-new,african_clawed_frog,16,60.72249404,15190560278
kiss-new,african_clawed_frog,32,61.188050798000006,15190560278
kiss-new,african_clawed_frog,64,61.903583097,15190560278
kiss-new,african_clawed_frog,128,61.04049122200001,15190560278
kiss-new,african_clawed_frog,256,62.858246271000006,15190560278
kiss-new,african_clawed_frog,512,60.935023427000004,15190560278
kiss-new,african_clawed_frog,1024,61.649430371,15190560278
kiss-new,african_clawed_frog,2048,61.508830916,15190560278
kiss-new,african_clawed_frog,0,61.30945118100001,15190560278
kiss-new,cat,2,49.821139575000004,15592545008
kiss-new,cat,4,51.027104782,15592545008
kiss-new,cat,8,51.56499034,15592545008
kiss-new,cat,16,51.884201851,15592545008
kiss-new,cat,32,51.910830080000004,15592545008
kiss-new,cat,64,52.224848441000006,15592545008
kiss-new,cat,128,52.104245239,15592545008
kiss-new,cat,256,52.250612311000005,15592545008
kiss-new,cat,512,52.642290636000006,15592545008
kiss-new,cat,1024,51.914308423,15592545008
kiss-new,cat,2048,52.40402223700001,15592545008
kiss-new,cat,0,52.453302455000006,15592545008
kiss-new,chicken,2,21.124679673000003,6572322290
kiss-new,chicken,4,21.609289574,6572318770
kiss-new,chicken,8,21.805360099,6572320882
kiss-new,chicken,16,21.528848963,6572320178
kiss-new,chicken,32,21.592355098000002,6572320178
kiss-new,chicken,64,21.588762145,6572321586
kiss-new,chicken,128,21.598633012,6572322290
kiss-new,chicken,256,21.746733431000003,6572321586
kiss-new,chicken,512,21.678832632000002,6572320178
kiss-new,chicken,1024,21.691709343000003,6572321586
kiss-new,chicken,2048,21.602309619,6572322994
kiss-new,chicken,0,21.724538285,6572322290
kiss-new,dog,2,46.33019542,14760825095
kiss-new,dog,4,46.998879547,14760825095
kiss-new,dog,8,47.424013110000004,14760825095
kiss-new,dog,16,47.91667684,14760825095
kiss-new,dog,32,47.785829851,14760825095
kiss-new,dog,64,48.11157363,14760825095
kiss-new,dog,128,47.871835807000004,14760825095
kiss-new,dog,256,48.082271371000004,14760825095
kiss-new,dog,512,47.864048109,14760825095
kiss-new,dog,1024,47.917146185,14760825095
kiss-new,dog,2048,47.928865219,14760825095
kiss-new,dog,0,47.92650854,14760825095
kiss-new,marmoset,2,56.722403285000006,16995060880
kiss-new,marmoset,4,58.527782506,16995060880
kiss-new,marmoset,8,59.499801006000006,16995060880
kiss-new,marmoset,16,61.039506710000005,16995060880
kiss-new,marmoset,32,60.500877171000006,16995060880
kiss-new,marmoset,64,60.538714239,16995060880
kiss-new,marmoset,128,61.121220112,16995060880
kiss-new,marmoset,256,60.709939278,16995060880
kiss-new,marmoset,512,60.821351919,16995060880
kiss-new,marmoset,1024,60.75779235500001,16995060880
kiss-new,marmoset,2048,60.973493783,16995060880
kiss-new,marmoset,0,60.870183274000006,16995060880
kiss-new,example,2,0.22959778600000003,34612626
kiss-new,example,4,0.23028229600000003,34612626
kiss-new,example,8,0.22311993700000002,34612626
kiss-new,example,16,0.232949182,34612626
kiss-new,example,32,0.22808850600000002,34612626
kiss-new,example,64,0.23469546500000002,34612626
kiss-new,example,128,0.21541343400000001,34612626
kiss-new,example,256,0.22985908500000002,34612626
kiss-new,example,512,0.21125300200000002,34612626
kiss-new,example,1024,0.231770413,34612626
kiss-new,example,2048,0.218097903,34612626
kiss-new,example,0,0.201508019,34612626
kiss-new,hs37d5,2,61.224660363000005,18599099614
kiss-new,hs37d5,4,62.979443262000004,18599099614
kiss-new,hs37d5,8,64.23959757600001,18599099614
kiss-new,hs37d5,16,65.54092868000001,18599099614
kiss-new,hs37d5,32,66.173053612,18599099614
kiss-new,hs37d5,64,66.557982479,18599099614
kiss-new,hs37d5,128,67.092071483,18599099614
kiss-new,hs37d5,256,67.500706416,18599099614
kiss-new,hs37d5,512,67.516984947,18599099614
kiss-new,hs37d5,1024,67.779587477,18599099614
kiss-new,hs37d5,2048,68.152275222,18599099614
kiss-new,hs37d5,0,67.659020921,18599099614
kiss-new,dna,2,1.7196661860000002,621026773
kiss-new,dna,4,1.858734413,621026773
kiss-new,dna,8,2.0250845550000003,621026773
kiss-new,dna,16,2.168368891,621026773
kiss-new,dna,32,2.33860574,621026773
kiss-new,dna,64,2.4412583370000003,621026773
kiss-new,dna,128,2.6096754470000003,621026773
kiss-new,dna,256,2.722791727,621026773
kiss-new,dna,512,2.6551014590000004,621026773
kiss-new,dna,1024,2.7566544420000003,621026773
kiss-new,dna,2048,2.7803271950000004,621026773
kiss-new,dna,0,2.7382900930000003,621026773
kiss-new,protein,2,2.309368777,764643273
kiss-new,protein,4,2.547209215,764644265
kiss-new,protein,8,2.749556854,764644661
kiss-new,protein,16,2.8873190380000002,764382129
kiss-new,protein,32,3.2156447650000004,764382325
kiss-new,protein,64,3.3519221330000004,764118977
kiss-new,protein,128,3.6012131440000004,764905421
kiss-new,protein,256,3.76259287,764643273
kiss-new,protein,512,3.8321991580000003,764643273
kiss-new,protein,1024,3.8222763650000005,764643273
kiss-new,protein,2048,3.8609837720000004,763857629
kiss-new,protein,0,3.8749190290000004,764120181
kiss-new,mouse,2,53.004013858,16004162598
kiss-new,mouse,4,54.57216445,16004162598
kiss-new,mouse,8,55.88213798,16004162598
kiss-new,mouse,16,56.62700186,16004162598
kiss-new,mouse,32,57.350367334000005,16004162598
kiss-new,mouse,64,57.771362712000006,16004162598
kiss-new,mouse,128,58.232100864,16004162598
kiss-new,mouse,256,58.42559567200001,16004162598
kiss-new,mouse,512,58.975604106000006,16004162598
kiss-new,mouse,1024,58.482378786000005,16004162598
kiss-new,mouse,2048,59.181604663,16004162598
kiss-new,mouse,0,59.279447185,16004162598
kiss-new,zebrafish,2,32.679242200000004,10857154120
kiss-new,zebrafish,4,34.911529572,10857154120
kiss-new,zebrafish,8,36.672784948,10857154120
kiss-new,zebrafish,16,38.716706158,10857154120
kiss-new,zebrafish,32,39.445046595,10857154120
kiss-new,zebrafish,64,40.781640536000005,10857154120
kiss-new,zebrafish,128,41.465610233,10857154120
kiss-new,zebrafish,256,42.081657281000005,10857154120
kiss-new,zebrafish,512,42.657055303,10857154120
kiss-new,zebrafish,1024,43.275410724000004,10857154120
kiss-new,zebrafish,2048,43.751714178,10857154120
kiss-new,zebrafish,0,45.796068756000004,10857154120
kiss-new,african_clawed_frog,2,56.595190838,15190560278
kiss-new,african_clawed_frog,4,58.426350811000006,15190560278
kiss-new,african_clawed_frog,8,60.023470575000005,15190560278
kiss-new,african_clawed_frog,16,60.544002777,15190560278
kiss-new,african_clawed_frog,32,60.866416761,15190560278
kiss-new,african_clawed_frog,64,61.289515730000005,15190560278
kiss-new,african_clawed_frog,128,61.428043164,15190560278
