algo,test,k,time,space
kiss-new,protein,2048,3.8609837720000004,763857629
kiss-new,protein,0,3.8749190290000004,764120181
kiss-new,mouse,2,53.004013858,16004162598
kiss-new,mouse,4,54.57216445,16004162598
kiss-new,mouse,8,55.88213798,16004162598
kiss-new,mouse,16,56.62700186,16004162598
kiss-new,mouse,32,57.350367334000005,16004162598
kiss-new,mouse,64,57.771362712000006,16004162598
kiss-new,mouse,128,58.232100864,16004162598
kiss-new,mouse,256,58.42559567200001,16004162598
kiss-new,mouse,512,58.975604106000006,16004162598
kiss-new,mouse,1024,58.482378786000005,16004162598
kiss-new,mouse,2048,59.181604663,16004162598
kiss-new,mouse,0,59.279447185,16004162598
kiss-new,zebrafish,2,32.679242200000004,10857154120
kiss-new,zebrafish,4,34.911529572,10857154120
kiss-new,zebrafish,8,36.672784948,10857154120
kiss-new,zebrafish,16,38.716706158,10857154120
kiss-new,zebrafish,32,39.445046595,10857154120
kiss-new,zebrafish,64,40.781640536000005,10857154120
kiss-new,zebrafish,128,41.465610233,10857154120
kiss-new,zebrafish,256,42.081657281000005,10857154120
kiss-new,zebrafish,512,42.657055303,10857154120
kiss-new,zebrafish,1024,43.275410724000004,10857154120
kiss-new,zebrafish,2048,43.751714178,10857154120
kiss-new,zebrafish,0,45.796068756000004,10857154120
kiss-new,african_clawed_frog,2,56.595190838,15190560278
kiss-new,african_clawed_frog,4,58.426350811000006,15190560278
kiss-new,african_clawed_frog,8,60.023470575000005,15190560278
kiss-new,african_clawed_frog,16,60.544002777,15190560278
kiss-new,african_clawed_frog,32,60.866416761,15190560278
kiss-new,african_clawed_frog,64,61.289515730000005,15190560278
kiss-new,african_clawed_frog,128,61.428043164,15190560278
kiss-new,african_clawed_frog,256,61.111255758000006,15190560278
kiss-new,african_clawed_frog,512,60.938020237,15190560278
kiss-new,african_clawed_frog,1024,61.1967262,15190560278
kiss-new,african_clawed_frog,2048,61.080613971000005,15190560278
kiss-new,african_clawed_frog,0,61.39394587500001,15190560278
kiss-new,cat,2,49.815504851,15592545008
kiss-new,cat,4,50.914569288,15592545008
kiss-new,cat,8,51.581390283000005,15592545008
kiss-new,cat,16,51.963497646,15592545008
kiss-new,cat,32,52.111442822,15592545008
kiss-new,cat,64,52.195553643000004,15592545008
kiss-new,cat,128,52.096621371000005,15592545008
kiss-new,cat,256,52.246988431000005,15592545008
kiss-new,cat,512,52.427550006000004,15592545008
kiss-new,cat,1024,52.228872996,15592545008
kiss-new,cat,2048,52.148410996,15592545008
kiss-new,cat,0,52.697621545000004,15592545008
kiss-new,chicken,2,21.146461118,6572320178
kiss-new,chicken,4,21.158471467000002,6572321586
kiss-new,chicken,8,21.453051111,6572322290
kiss-new,chicken,16,21.49885739,6572323346
kiss-new,chicken,32,21.517843284,6572320882
kiss-new,chicken,64,21.591670292,6572322994
kiss-new,chicken,128,21.606540786,6572319474
kiss-new,chicken,256,21.692398754000003,6572322290
kiss-new,chicken,512,21.56810829,6572323346
kiss-new,chicken,1024,21.776217026,6572322994
kiss-new,chicken,2048,21.874920576,6572322994
kiss-new,chicken,0,21.776035728,6572322994
